
Epoch: 0, Loss: 2.8982043266296387
Epoch: 1, Loss: 3.0561845302581787
Epoch: 2, Loss: 3.141502857208252
Epoch: 3, Loss: 2.7361555099487305
Epoch: 4, Loss: 2.79807186126709
Epoch: 5, Loss: 3.0013110637664795
Epoch: 6, Loss: 2.904078483581543
Epoch: 7, Loss: 2.827188491821289
Epoch: 8, Loss: 2.7365574836730957
Epoch: 9, Loss: 3.135878324508667
Epoch: 10, Loss: 2.998805522918701
Epoch: 11, Loss: 2.8333334922790527
Epoch: 12, Loss: 3.085357666015625
Epoch: 13, Loss: 2.8633408546447754
Epoch: 14, Loss: 2.880187511444092
Epoch: 15, Loss: 3.1129565238952637
Epoch: 16, Loss: 2.9674935340881348
Epoch: 17, Loss: 2.9822239875793457
Epoch: 18, Loss: 2.8879170417785645
Epoch: 19, Loss: 2.9684131145477295
Epoch: 20, Loss: 2.909658908843994
Epoch: 21, Loss: 2.9755637645721436
Epoch: 22, Loss: 3.103692054748535
Epoch: 23, Loss: 2.909768581390381
Epoch: 24, Loss: 2.8706138134002686
Epoch: 25, Loss: 3.021211862564087
Epoch: 26, Loss: 3.0924081802368164
Epoch: 27, Loss: 2.7130308151245117
Epoch: 28, Loss: 2.9751029014587402
Epoch: 29, Loss: 2.938312530517578
Epoch: 30, Loss: 2.8972244262695312
Epoch: 31, Loss: 3.1145524978637695
Epoch: 32, Loss: 2.879159927368164
Epoch: 33, Loss: 2.9616312980651855
Epoch: 34, Loss: 2.9102699756622314
Epoch: 35, Loss: 2.7376632690429688
Epoch: 36, Loss: 2.91811466217041
Epoch: 37, Loss: 2.913149356842041
Epoch: 38, Loss: 2.8357245922088623
Epoch: 39, Loss: 2.799496650695801
Epoch: 40, Loss: 2.9137699604034424
Epoch: 41, Loss: 2.8405261039733887
Epoch: 42, Loss: 2.7436389923095703
